user_id:token item_id:token 1
7188 104 1
7188 101 1
7188 102 1
21815 152 1
7188 23 1
7188 116 1
20354 176 1
16383 151 1
7722 20 1
7722 70 1
3039 175 1
3039 204 1
3039 850 1
7188 317 1
7188 327 1
15465 4941 1
15465 1026 1
15465 62 1
15465 4851 1
8086 47 1
1726 82 1
1726 185 1
1726 189 1
4566 36 1
15465 173 1
4566 52 1
15465 3394 1
15465 989 1
15465 99 1
15465 290 1
15465 2131 1
15465 392 1
15465 1073 1
19849 30 1
19849 2542 1
12076 494 1
12076 951 1
12076 961 1
12076 1283 1
12076 2604 1
12076 2638 1
12076 2747 1
15465 1580 1
7188 158 1
7188 256 1
7188 740 1
2530 747 1
15644 119 1
21978 59 1
5704 667 1
5704 70 1
15465 5010 1
19849 162 1
21920 3404 1
20869 3404 1
1863 1066 1
7722 17 1
7722 429 1
20869 241 1
4898 336 1
7188 129 1
7188 494 1
21978 76 1
7188 262 1
3245 560 1
3245 842 1
7188 493 1
8961 148 1
2697 373 1
15465 420 1
7188 99 1
1670 438 1
7029 571 1
3245 47 1
3245 59 1
15465 1101 1
7029 1093 1
7029 573 1
15465 560 1
5286 709 1
11386 672 1
7029 572 1
7029 574 1
7029 560 1
2504 573 1
2714 784 1
9654 592 1
9654 595 1
9654 3405 1
9654 3409 1
4660 1279 1
4047 4511 1
4407 420 1
11386 574 1
5704 649 1
4047 1226 1
15465 1051 1
18480 62 1
7188 295 1
7188 728 1
609 745 1
609 1024 1
4047 226 1
4047 903 1
11223 46 1
11223 74 1
11223 83 1
11223 47 1
11223 1274 1
5332 209 1
4407 810 1
5704 77 1
15465 1017 1
249 2845 1
836 521 1
9654 596 1
2438 3511 1
21168 1635 1
11386 150 1
15465 966 1
7687 530 1
15465 3100 1
609 57 1
609 697 1
16888 34 1
19849 112 1
7188 110 1
16888 29 1
6364 1126 1
2209 1611 1
11386 561 1
11386 571 1
11386 572 1
11688 506 1
4428 1041 1
15465 948 1
4428 891 1
15465 1036 1
4660 259 1
6975 514 1
1863 564 1
1863 1093 1
7444 844 1
4428 564 1
4428 1086 1
4428 1015 1
609 706 1
4428 1093 1
4428 1023 1
5369 278 1
7188 161 1
16014 1126 1
1611 458 1
1863 45 1
5243 520 1
12521 498 1
2438 706 1
1863 367 1
1616 845 1
10036 210 1
4428 394 1
16100 190 1
16100 209 1
16100 688 1
4428 619 1
3195 745 1
11244 430 1
11244 777 1
11244 891 1
18806 892 1
4660 520 1
16292 192 1
21724 40 1
4039 807 1
1594 1261 1
22160 905 1
19849 366 1
21781 3130 1
4428 430 1
4428 791 1
3039 65 1
7188 96 1
7188 115 1
7188 202 1
7188 981 1
21168 257 1
21168 4851 1
4407 418 1
4407 989 1
7329 122 1
12716 1439 1
5033 784 1
15465 582 1
196 418 1
196 419 1
8100 5119 1
15465 1439 1
17259 905 1
18969 290 1
18969 291 1
18969 366 1
16979 498 1
19044 1126 1
15465 5507 1
7188 160 1
7188 208 1
7188 2097 1
19565 1595 1
4428 1078 1
16292 681 1
15465 1055 1
14384 2995 1
11244 1078 1
7188 3645 1
7188 895 1
7188 4863 1
22161 1255 1
3599 1023 1
19922 1121 1
19565 418 1
18645 31 1
15465 1959 1
18645 956 1
2978 2648 1
2801 418 1
2801 419 1
4751 185 1
21979 641 1
2801 417 1
2801 3100 1
4751 2026 1
4751 715 1
2908 681 1
16935 3422 1
18645 913 1
4751 1583 1
4751 2022 1
19565 419 1
15217 1269 1
18645 729 1
